init_node,term_node,capacity,length,free_flow_time,b,power,simu_g/c,gamma,n',neta,no_signal,accurate_g/c
0,1,2571,1.15515,1.15515,0.15,4,0.25,0.8,3.2,1,,
0,2,12193,1.47381,1.47381,0.15,4,1,0.8,3.2,1,1,
0,4,13434,1.68102,1.68102,0.15,4,1,0.8,3.2,1,1,
0,165,4945,2.74019,2.74019,0.15,4,0.25,0.8,3.2,1,,
1,0,2571,1.15515,1.15515,0.15,4,0.25,0.8,3.2,1,,
1,6,2401,1.04162,1.04162,0.15,4,0.25,0.8,3.2,1,,
1,7,3901,2.04273,2.04273,0.15,4,0.25,0.8,3.2,1,,
1,35,4073,2.15784,2.15784,0.15,4,0.25,0.8,3.2,1,,
2,0,12193,1.47381,1.47381,0.15,4,1,0.8,3.2,1,1,
2,6,6042,0.44701,0.44701,0.15,4,1,0.8,3.2,1,1,
2,42,13995,1.77454,1.77454,0.15,4,1,0.8,3.2,1,1,
3,41,8260,0.8172,0.8172,0.15,4,1,0.8,3.2,1,1,
3,42,10072,1.11979,1.11979,0.15,4,1,0.8,3.2,1,1,
3,51,10973,1.27006,1.27006,0.15,4,1,0.8,3.2,1,1,
3,121,3929,2.06143,2.06143,0.15,4,0.25,0.8,3.2,1,,
4,0,13434,1.68102,1.68102,0.15,4,1,0.8,3.2,1,1,
4,5,4522,2.45775,2.45775,0.15,4,0.25,0.8,3.2,1,,
4,7,4325,2.32602,2.32602,0.15,4,0.25,0.8,3.2,1,,
4,8,8586,0.87166,0.87166,0.15,4,1,0.8,3.2,1,1,
5,4,6029,2.45775,2.45775,0.15,4,0.333333333,0.8,3.2,1,,
5,9,3259,1.07056,1.07056,0.15,4,0.333333333,0.8,3.2,1,,
5,165,2265,0.57249,0.57249,0.15,4,0.333333333,0.8,3.2,1,,
6,1,4802,1.04162,1.04162,0.15,4,0.5,0.8,3.2,1,,
6,2,3021,0.44701,0.44701,0.15,4,0.5,0.8,3.2,1,,
7,1,3901,2.04273,2.04273,0.15,4,0.25,0.8,3.2,1,,
7,4,4325,2.32602,2.32602,0.15,4,0.25,0.8,3.2,1,,
7,12,2489,1.10003,1.10003,0.15,4,0.25,0.8,3.2,1,,
7,32,3874,2.02479,2.02479,0.15,4,0.25,0.8,3.2,1,,
8,4,8586,0.87166,0.87166,0.15,4,1,0.8,3.2,1,1,
8,9,4454,2.41218,2.41218,0.15,4,0.25,0.8,3.2,1,,
8,10,8326,0.82835,0.82835,0.15,4,1,0.8,3.2,1,1,
8,11,2205,0.91025,0.91025,0.15,4,0.25,0.8,3.2,1,,
9,5,4889,1.07056,1.07056,0.15,4,0.5,0.8,3.2,1,,
9,8,8907,2.41218,2.41218,0.15,4,0.5,0.8,3.2,1,,
10,8,8326,0.82835,0.82835,0.15,4,1,0.8,3.2,1,1,
10,11,2959,0.92032,0.92032,0.15,4,0.333333333,0.8,3.2,1,,
10,23,17321,2.32988,2.32988,0.15,4,1,0.8,3.2,1,1,
11,8,2939,0.91025,0.91025,0.15,4,0.333333333,0.8,3.2,1,,
11,10,2959,0.92032,0.92032,0.15,4,0.333333333,0.8,3.2,1,,
11,13,3747,1.31496,1.31496,0.15,4,0.333333333,0.8,3.2,1,,
12,7,2489,1.10003,1.10003,0.15,4,0.25,0.8,3.2,1,,
12,13,2756,1.27829,1.27829,0.15,4,0.25,0.8,3.2,1,,
12,14,1784,0.62912,0.62912,0.15,4,0.25,0.8,3.2,1,,
12,30,2414,1.04992,1.04992,0.15,4,0.25,0.8,3.2,1,,
13,11,3747,1.31496,1.31496,0.15,4,0.333333333,0.8,3.2,1,,
13,12,3674,1.27829,1.27829,0.15,4,0.333333333,0.8,3.2,1,,
13,15,1986,0.43278,0.43278,0.15,4,0.333333333,0.8,3.2,1,,
14,12,1784,0.62912,0.62912,0.15,4,0.25,0.8,3.2,1,,
14,15,1700,0.57317,0.57317,0.15,4,0.25,0.8,3.2,1,,
14,16,1665,0.55005,0.55005,0.15,4,0.25,0.8,3.2,1,,
14,29,1741,0.60043,0.60043,0.15,4,0.25,0.8,3.2,1,,
15,13,1986,0.43278,0.43278,0.15,4,0.333333333,0.8,3.2,1,,
15,14,2266,0.57317,0.57317,0.15,4,0.333333333,0.8,3.2,1,,
15,16,2240,0.5602,0.5602,0.15,4,0.333333333,0.8,3.2,1,,
16,14,1665,0.55005,0.55005,0.15,4,0.25,0.8,3.2,1,,
16,15,1680,0.5602,0.5602,0.15,4,0.25,0.8,3.2,1,,
16,17,2135,0.86381,0.86381,0.15,4,0.25,0.8,3.2,1,,
16,18,4124,2.19154,2.19154,0.15,4,0.25,0.8,3.2,1,,
17,16,2135,0.86381,0.86381,0.15,4,0.25,0.8,3.2,1,,
17,19,3351,1.67596,1.67596,0.15,4,0.25,0.8,3.2,1,,
17,28,2631,1.1952,1.1952,0.15,4,0.25,0.8,3.2,1,,
17,107,3408,1.71405,1.71405,0.15,4,0.25,0.8,3.2,1,,
18,16,4124,2.19154,2.19154,0.15,4,0.25,0.8,3.2,1,,
