id,origin,cs,power,destination,path
0,3,1,50,6,"[5, 1, 4]"
1,7,11,50,17,"[18, 55, 48, 27, 32, 29, 49]"
2,21,20,50,20,[64]
3,13,13,50,22,"[39, 75, 65]"
4,6,13,50,13,"[15, 11, 8, 7, 37]"
5,4,13,50,10,"[8, 7, 37, 38, 36, 32]"
6,7,11,50,11,"[18, 55, 48, 27]"
7,4,11,50,6,"[10, 31, 9, 12]"
8,14,1,50,9,"[40, 33, 35, 5, 2, 6, 9, 13]"
9,14,5,50,9,"[40, 31, 9, 13]"
10,10,5,50,9,"[26, 23, 13]"
11,6,11,50,4,"[15, 11, 10, 31]"
12,16,11,50,10,"[48, 27, 32]"
13,22,15,50,19,"[67, 45]"
14,22,15,50,15,[67]
15,23,11,50,11,"[71, 40]"
16,10,5,50,16,"[26, 23, 12, 16, 22]"
17,11,11,120,14,[34]
18,10,5,50,16,"[26, 23, 12, 16, 22]"
19,15,15,50,11,"[44, 40]"
20,20,20,120,21,[62]
21,22,15,50,15,[67]
22,17,15,50,7,"[53, 57, 45, 58, 52, 50, 54]"
23,22,5,50,21,"[67, 43, 26, 23, 13, 25, 28, 46, 69]"
24,7,5,50,10,"[17, 19, 15, 13, 25]"
25,20,20,50,9,"[60, 55, 48, 26]"
26,10,1,50,8,"[26, 23, 11, 8, 5, 1, 4, 16]"
27,13,13,50,21,"[39, 75]"
28,7,13,50,19,"[18, 56, 62, 66, 74, 39, 75, 65, 67, 45]"
29,15,15,50,16,"[45, 58, 52]"
30,21,20,50,12,"[64, 62, 66, 74, 38]"
31,15,15,50,16,"[45, 58, 52]"
32,21,5,50,5,"[65, 67, 43, 26, 23]"
33,17,13,50,10,"[53, 57, 46, 69, 66, 74, 38, 36, 32]"
34,23,1,50,17,"[73, 74, 38, 35, 5, 1, 4, 16, 22, 49]"
35,11,11,50,23,"[34, 42]"
36,10,11,50,11,[27]
37,20,20,50,17,"[61, 58]"
38,16,20,50,20,"[50, 56]"
39,4,5,50,7,"[9, 12, 16, 20]"
40,13,13,50,4,"[38, 35, 6]"
41,13,13,50,10,"[38, 36, 32]"
42,7,5,50,23,"[17, 19, 15, 11, 10, 34, 42]"
43,15,15,120,10,[43]
44,5,5,120,10,"[13, 25]"
45,17,20,50,10,"[53, 59, 60, 55, 48]"
46,17,15,50,16,"[53, 57, 45, 58, 52]"
47,14,15,50,8,"[41, 45, 58, 52, 47]"
48,8,15,50,16,"[22, 49, 53, 57, 45, 58, 52]"
49,20,20,120,9,"[60, 55, 48, 26]"
50,17,15,50,18,"[53, 57, 45, 58, 52, 50]"
51,16,15,50,8,"[49, 53, 57, 45, 58, 52, 47]"
52,10,20,50,6,"[29, 50, 56, 60, 54, 17, 19]"
53,10,11,50,14,"[27, 34]"
54,10,15,50,15,[28]
55,12,11,50,17,"[36, 32, 29, 49]"
56,4,11,50,11,[10]
57,20,20,50,17,"[61, 58]"
58,18,5,50,4,"[54, 17, 19, 15, 11]"
59,21,20,50,18,"[64, 60]"
60,5,5,120,9,[13]
61,11,11,120,8,"[31, 9, 12, 16]"
62,17,1,50,19,"[52, 47, 19, 14, 3, 1, 4, 16, 22, 49, 53]"
63,9,1,50,12,"[23, 11, 8, 5, 2, 7]"
64,9,1,50,16,"[23, 11, 8, 5, 1, 4, 16, 22]"
65,22,11,50,21,"[67, 44, 40, 34, 42, 73, 75]"
66,18,11,50,8,"[55, 48, 27, 31, 9, 12, 16]"
67,10,11,50,11,[27]
68,22,15,50,21,"[67, 46, 69]"
69,7,11,50,22,"[18, 55, 48, 27, 34, 41, 46]"
70,23,1,50,1,"[73, 74, 38, 35, 5]"
71,2,5,50,10,"[4, 15, 13, 25]"
72,4,1,50,1,"[8, 5]"
73,10,20,50,16,"[29, 50, 56, 60, 55]"
74,22,13,50,16,"[69, 66, 74, 38, 36, 32, 29]"
75,20,20,120,22,[63]
76,9,5,50,16,"[23, 12, 16, 22]"
77,16,15,50,15,"[49, 53, 57]"
78,17,1,50,3,"[52, 47, 19, 14, 3, 2]"
79,13,13,120,1,"[38, 35, 5]"
80,17,1,50,22,"[52, 47, 19, 14, 3, 2, 7, 37, 39, 75, 65]"
81,5,5,50,7,"[12, 16, 20]"
82,12,13,50,16,"[37, 38, 36, 32, 29]"
83,10,13,50,13,"[27, 33, 37]"
84,23,13,50,10,"[73, 74, 38, 36, 32]"
85,10,13,50,13,"[27, 33, 37]"
86,12,13,50,13,[37]
87,2,15,50,16,"[4, 16, 22, 49, 53, 57, 45, 58, 52]"
88,11,11,120,10,[32]
89,1,1,50,23,"[2, 7, 37, 39, 76]"
90,1,1,50,20,"[1, 4, 16, 20, 18, 56]"
91,21,11,50,23,"[66, 76, 71, 40, 34, 42]"
92,8,20,50,10,"[20, 18, 56, 60, 55, 48]"
93,16,15,50,19,"[49, 53, 57, 45]"
94,11,11,120,20,"[32, 29, 50, 56]"
95,9,11,50,10,"[25, 27, 32]"
96,11,11,50,10,[32]
97,24,13,50,6,"[74, 38, 35, 6, 9, 12]"
98,8,15,50,14,"[22, 49, 53, 57, 44]"
99,3,5,50,4,"[6, 9, 11]"
100,23,1,50,9,"[73, 74, 38, 35, 5, 2, 6, 9, 13]"
101,10,13,50,12,"[27, 33, 37, 38]"
102,5,5,120,13,"[11, 8, 7, 37]"
103,14,5,50,3,"[40, 31, 9, 11, 8]"
104,20,20,120,6,"[60, 54, 17, 19]"
105,9,13,50,10,"[25, 27, 33, 37, 38, 36, 32]"
106,22,15,50,17,"[67, 45, 58]"
107,21,11,50,16,"[66, 76, 71, 40, 32, 29]"
108,22,5,50,24,"[67, 43, 26, 23, 11, 8, 7, 37, 39]"
109,2,13,50,10,"[3, 2, 7, 37, 38, 36, 32]"
110,10,11,50,11,[27]
111,4,1,50,1,"[8, 5]"
112,19,1,50,8,"[58, 52, 47, 19, 14, 3, 1, 4, 16]"
113,22,11,50,11,"[67, 44, 40]"
114,11,11,120,22,"[34, 41, 46]"
115,18,13,50,9,"[56, 62, 66, 74, 38, 36, 32, 26]"
116,17,11,50,16,"[52, 48, 27, 32, 29]"
117,8,13,50,16,"[19, 15, 11, 8, 7, 37, 38, 36, 32, 29]"
118,24,1,50,1,"[74, 38, 35, 5]"
119,15,15,50,10,[43]
120,10,5,50,5,"[26, 23]"
121,17,20,50,19,"[53, 59, 61]"
122,7,5,50,8,"[17, 19, 15, 12, 16]"
123,1,1,120,7,"[1, 4, 16, 20]"
124,8,1,50,2,"[19, 14, 3, 1]"
125,11,11,50,10,[32]
126,17,20,50,20,"[53, 59]"
127,16,1,50,10,"[47, 19, 14, 3, 2, 6, 9, 13, 25]"
128,7,11,50,16,"[18, 55, 48, 27, 32, 29]"
129,11,11,50,22,"[34, 41, 46]"
130,4,20,50,2,"[9, 12, 16, 20, 18, 56, 60, 54, 17, 19, 14]"
131,13,13,50,16,"[38, 36, 32, 29]"
132,20,20,120,17,"[61, 58]"
133,11,11,120,13,"[33, 37]"
134,16,1,50,10,"[47, 19, 14, 3, 2, 6, 9, 13, 25]"
135,22,20,50,20,[68]
136,23,1,50,16,"[73, 74, 38, 35, 5, 1, 4, 16, 22]"
